aXperc75,aYsd,aYperc90,aZabsmean,aZrootms,aMsd,gMsd,Label
0.958984,0.01295,-0.203979,0.163394,0.163684,0.007424,2.927979,other
0.956787,0.011169,-0.21875,0.183608,0.184529,0.0096,10.266748,other
0.986084,0.039878,-0.183594,0.097661,0.126969,0.025276,8.357309,other
0.977539,0.022202,-0.203125,0.057705,0.068576,0.023836,11.796599,other
0.957764,0.04805,-0.225952,0.196802,0.201884,0.037085,10.460776,other
0.954834,0.034558,-0.233643,0.193672,0.194792,0.029823,6.606976,other
0.952637,0.014798,-0.208984,0.196084,0.196572,0.011334,3.404258,other
0.952393,0.020144,-0.205322,0.210015,0.211174,0.012877,5.035539,other
0.944824,0.013561,-0.212036,0.226064,0.226361,0.007259,1.544966,other
0.948975,0.022867,-0.22522,0.19665,0.200006,0.014775,4.141506,other
0.945068,0.011018,-0.243042,0.186602,0.186853,0.005622,2.663572,other
0.947754,0.010798,-0.233032,0.190049,0.190202,0.005701,2.093681,other
0.94751,0.012223,-0.229126,0.192329,0.192497,0.004265,2.511145,other
0.947021,0.008176,-0.235962,0.19125,0.191417,0.004299,1.881485,other
0.947998,0.007385,-0.222412,0.201523,0.201629,0.004608,1.464152,other
0.94873,0.004645,-0.220947,0.200093,0.200237,0.004054,0.8835,other
0.950928,0.011588,-0.208984,0.20644,0.206803,0.007166,2.903466,other
0.95166,0.009092,-0.202026,0.207856,0.208528,0.006056,2.212812,other
0.976807,0.043412,-0.172729,0.162554,0.168909,0.04045,13.796658,other
0.961182,0.031219,-0.211426,0.180259,0.183458,0.03739,5.729101,other
0.949951,0.019703,-0.194946,0.218726,0.219739,0.017569,3.747681,other
0.947998,0.008432,-0.214233,0.21147,0.211692,0.004838,1.807485,other
0.947998,0.013719,-0.20752,0.216523,0.216724,0.005687,2.257772,other
0.947998,0.013675,-0.209717,0.215952,0.216138,0.007836,1.501938,other
0.949951,0.008207,-0.197021,0.216816,0.216903,0.004474,2.144754,other
0.941406,0.035986,-0.21106,0.291553,0.29637,0.016007,16.194649,other
0.949219,0.0503,-0.188599,0.337197,0.346812,0.035815,31.266844,other
0.957275,0.033696,-0.0979,0.233179,0.233771,0.009309,3.529183,other
0.955811,0.0113,-0.155762,0.233286,0.233757,0.00841,3.333606,other
0.952637,0.005719,-0.159424,0.23543,0.235509,0.004878,1.399292,other
